Legend:

1-P =,Untitled 1 Process


Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P °C
241,9/8/2022,12:53:05 PM,237
242,9/8/2022,12:53:20 PM,238
243,9/8/2022,12:53:35 PM,238
244,9/8/2022,12:53:50 PM,239
245,9/8/2022,12:54:05 PM,239
246,9/8/2022,12:54:20 PM,240
247,9/8/2022,12:54:35 PM,240
248,9/8/2022,12:54:50 PM,241
249,9/8/2022,12:55:05 PM,241
250,9/8/2022,12:55:20 PM,242
251,9/8/2022,12:55:35 PM,242
252,9/8/2022,12:55:50 PM,242
253,9/8/2022,12:56:05 PM,243
254,9/8/2022,12:56:20 PM,243
255,9/8/2022,12:56:35 PM,243
256,9/8/2022,12:56:50 PM,244
257,9/8/2022,12:57:05 PM,244
258,9/8/2022,12:57:20 PM,244
259,9/8/2022,12:57:35 PM,244
260,9/8/2022,12:57:50 PM,245
261,9/8/2022,12:58:05 PM,245
262,9/8/2022,12:58:20 PM,245
263,9/8/2022,12:58:35 PM,245
264,9/8/2022,12:58:50 PM,246
265,9/8/2022,12:59:05 PM,246
266,9/8/2022,12:59:20 PM,246
267,9/8/2022,12:59:35 PM,246
268,9/8/2022,12:59:50 PM,246
269,9/8/2022,1:00:05 PM,247
270,9/8/2022,1:00:20 PM,247
271,9/8/2022,1:00:35 PM,247
272,9/8/2022,1:00:50 PM,247
273,9/8/2022,1:01:05 PM,247
274,9/8/2022,1:01:20 PM,247
275,9/8/2022,1:01:35 PM,247
276,9/8/2022,1:01:50 PM,247
277,9/8/2022,1:02:05 PM,247
278,9/8/2022,1:02:20 PM,247
279,9/8/2022,1:02:35 PM,248
280,9/8/2022,1:02:50 PM,248
281,9/8/2022,1:03:05 PM,248
282,9/8/2022,1:03:20 PM,248
283,9/8/2022,1:03:35 PM,248
284,9/8/2022,1:03:50 PM,248
285,9/8/2022,1:04:05 PM,248
286,9/8/2022,1:04:20 PM,248
287,9/8/2022,1:04:35 PM,248
288,9/8/2022,1:04:50 PM,248
289,9/8/2022,1:05:05 PM,248
290,9/8/2022,1:05:20 PM,248
291,9/8/2022,1:05:35 PM,248
292,9/8/2022,1:05:50 PM,248
293,9/8/2022,1:06:05 PM,248
294,9/8/2022,1:06:20 PM,248
295,9/8/2022,1:06:35 PM,248
296,9/8/2022,1:06:50 PM,248
297,9/8/2022,1:07:05 PM,248
298,9/8/2022,1:07:20 PM,248
299,9/8/2022,1:07:35 PM,248
300,9/8/2022,1:07:50 PM,248
301,9/8/2022,1:08:05 PM,248
302,9/8/2022,1:08:20 PM,248
303,9/8/2022,1:08:35 PM,248
304,9/8/2022,1:08:50 PM,248
305,9/8/2022,1:09:05 PM,248
306,9/8/2022,1:09:20 PM,248
307,9/8/2022,1:09:35 PM,248
308,9/8/2022,1:09:50 PM,248
309,9/8/2022,1:10:05 PM,248
310,9/8/2022,1:10:20 PM,248
311,9/8/2022,1:10:35 PM,248
312,9/8/2022,1:10:50 PM,248
313,9/8/2022,1:11:05 PM,248
314,9/8/2022,1:11:20 PM,248
315,9/8/2022,1:11:35 PM,248
316,9/8/2022,1:11:50 PM,248
317,9/8/2022,1:12:05 PM,248
318,9/8/2022,1:12:20 PM,248
319,9/8/2022,1:12:35 PM,248
320,9/8/2022,1:12:50 PM,247
321,9/8/2022,1:13:05 PM,248
322,9/8/2022,1:13:20 PM,247
323,9/8/2022,1:13:35 PM,247
324,9/8/2022,1:13:50 PM,247
325,9/8/2022,1:14:05 PM,247
326,9/8/2022,1:14:20 PM,247
327,9/8/2022,1:14:35 PM,247
328,9/8/2022,1:14:50 PM,247
329,9/8/2022,1:15:05 PM,247
330,9/8/2022,1:15:20 PM,247
331,9/8/2022,1:15:35 PM,247
332,9/8/2022,1:15:50 PM,247
333,9/8/2022,1:16:05 PM,247
334,9/8/2022,1:16:20 PM,247
335,9/8/2022,1:16:35 PM,247
336,9/8/2022,1:16:50 PM,247
337,9/8/2022,1:17:05 PM,247
338,9/8/2022,1:17:20 PM,247
339,9/8/2022,1:17:35 PM,247
340,9/8/2022,1:17:50 PM,247
341,9/8/2022,1:18:05 PM,247
342,9/8/2022,1:18:20 PM,247
343,9/8/2022,1:18:35 PM,246
344,9/8/2022,1:18:50 PM,246
345,9/8/2022,1:19:05 PM,246
346,9/8/2022,1:19:20 PM,246
347,9/8/2022,1:19:35 PM,246
348,9/8/2022,1:19:50 PM,246
349,9/8/2022,1:20:05 PM,246
350,9/8/2022,1:20:20 PM,246
351,9/8/2022,1:20:35 PM,246
352,9/8/2022,1:20:50 PM,247
353,9/8/2022,1:21:05 PM,247
354,9/8/2022,1:21:20 PM,248
355,9/8/2022,1:21:35 PM,250
356,9/8/2022,1:21:50 PM,251
357,9/8/2022,1:22:05 PM,253
358,9/8/2022,1:22:20 PM,256
359,9/8/2022,1:22:35 PM,259
360,9/8/2022,1:22:50 PM,262
361,9/8/2022,1:23:05 PM,265
362,9/8/2022,1:23:20 PM,268
363,9/8/2022,1:23:35 PM,273
364,9/8/2022,1:23:50 PM,277
365,9/8/2022,1:24:05 PM,280
366,9/8/2022,1:24:20 PM,283
367,9/8/2022,1:24:35 PM,288
368,9/8/2022,1:24:50 PM,291
369,9/8/2022,1:25:05 PM,294
370,9/8/2022,1:25:20 PM,297
371,9/8/2022,1:25:35 PM,300
372,9/8/2022,1:25:50 PM,303
373,9/8/2022,1:26:05 PM,306
374,9/8/2022,1:26:20 PM,310
375,9/8/2022,1:26:35 PM,311
376,9/8/2022,1:26:50 PM,314
377,9/8/2022,1:27:05 PM,315
378,9/8/2022,1:27:20 PM,317
379,9/8/2022,1:27:35 PM,319
380,9/8/2022,1:27:50 PM,321
381,9/8/2022,1:28:05 PM,323
382,9/8/2022,1:28:20 PM,324
383,9/8/2022,1:28:35 PM,326
384,9/8/2022,1:28:50 PM,327
385,9/8/2022,1:29:05 PM,328
386,9/8/2022,1:29:20 PM,330
387,9/8/2022,1:29:35 PM,331
388,9/8/2022,1:29:50 PM,332
389,9/8/2022,1:30:05 PM,333
390,9/8/2022,1:30:20 PM,334
391,9/8/2022,1:30:35 PM,334
392,9/8/2022,1:30:50 PM,335
393,9/8/2022,1:31:05 PM,336
394,9/8/2022,1:31:20 PM,337
395,9/8/2022,1:31:35 PM,337
396,9/8/2022,1:31:50 PM,338
397,9/8/2022,1:32:05 PM,338
398,9/8/2022,1:32:20 PM,339
399,9/8/2022,1:32:35 PM,339
400,9/8/2022,1:32:50 PM,340
401,9/8/2022,1:33:05 PM,340
402,9/8/2022,1:33:20 PM,340
403,9/8/2022,1:33:35 PM,341
404,9/8/2022,1:33:50 PM,341
405,9/8/2022,1:34:05 PM,341
406,9/8/2022,1:34:20 PM,342
407,9/8/2022,1:34:35 PM,342
408,9/8/2022,1:34:50 PM,342
409,9/8/2022,1:35:05 PM,343
410,9/8/2022,1:35:20 PM,343
411,9/8/2022,1:35:35 PM,343
412,9/8/2022,1:35:50 PM,343
413,9/8/2022,1:36:05 PM,343
414,9/8/2022,1:36:20 PM,344
415,9/8/2022,1:36:35 PM,344
416,9/8/2022,1:36:50 PM,344
417,9/8/2022,1:37:05 PM,344
418,9/8/2022,1:37:20 PM,344
419,9/8/2022,1:37:35 PM,344
420,9/8/2022,1:37:50 PM,344
421,9/8/2022,1:38:05 PM,344
422,9/8/2022,1:38:20 PM,344
423,9/8/2022,1:38:35 PM,344
424,9/8/2022,1:38:50 PM,344
425,9/8/2022,1:39:05 PM,344
426,9/8/2022,1:39:20 PM,344
427,9/8/2022,1:39:35 PM,345
428,9/8/2022,1:39:50 PM,345
429,9/8/2022,1:40:05 PM,345
430,9/8/2022,1:40:20 PM,345
431,9/8/2022,1:40:35 PM,345
432,9/8/2022,1:40:50 PM,345
433,9/8/2022,1:41:05 PM,345
434,9/8/2022,1:41:20 PM,345
435,9/8/2022,1:41:35 PM,345
436,9/8/2022,1:41:50 PM,345
437,9/8/2022,1:42:05 PM,345
438,9/8/2022,1:42:20 PM,345
439,9/8/2022,1:42:35 PM,345
440,9/8/2022,1:42:50 PM,345
441,9/8/2022,1:43:05 PM,345
442,9/8/2022,1:43:20 PM,344
443,9/8/2022,1:43:35 PM,344
444,9/8/2022,1:43:50 PM,344
445,9/8/2022,1:44:05 PM,344
446,9/8/2022,1:44:20 PM,344
447,9/8/2022,1:44:35 PM,344
448,9/8/2022,1:44:50 PM,344
449,9/8/2022,1:45:05 PM,344
450,9/8/2022,1:45:20 PM,344
451,9/8/2022,1:45:35 PM,344
452,9/8/2022,1:45:50 PM,344
453,9/8/2022,1:46:05 PM,344
454,9/8/2022,1:46:20 PM,344
455,9/8/2022,1:46:35 PM,344
456,9/8/2022,1:46:50 PM,344
457,9/8/2022,1:47:05 PM,344
458,9/8/2022,1:47:20 PM,344
459,9/8/2022,1:47:35 PM,344
460,9/8/2022,1:47:50 PM,344
461,9/8/2022,1:48:05 PM,344
462,9/8/2022,1:48:20 PM,344
463,9/8/2022,1:48:35 PM,344
464,9/8/2022,1:48:50 PM,344
465,9/8/2022,1:49:05 PM,343
466,9/8/2022,1:49:20 PM,343
467,9/8/2022,1:49:35 PM,343
468,9/8/2022,1:49:50 PM,343
469,9/8/2022,1:50:05 PM,343
470,9/8/2022,1:50:20 PM,343
471,9/8/2022,1:50:35 PM,343
472,9/8/2022,1:50:50 PM,343
473,9/8/2022,1:51:05 PM,343
474,9/8/2022,1:51:20 PM,343
475,9/8/2022,1:51:35 PM,343
476,9/8/2022,1:51:50 PM,343
477,9/8/2022,1:52:05 PM,343
478,9/8/2022,1:52:20 PM,343
479,9/8/2022,1:52:35 PM,343
480,9/8/2022,1:52:50 PM,343
481,9/8/2022,1:53:05 PM,343
482,9/8/2022,1:53:20 PM,343
483,9/8/2022,1:53:35 PM,342
484,9/8/2022,1:53:50 PM,342
485,9/8/2022,1:54:05 PM,342
486,9/8/2022,1:54:20 PM,342
487,9/8/2022,1:54:35 PM,88888888888888888888888
488,9/8/2022,1:54:50 PM,342
489,9/8/2022,1:55:05 PM,342
490,9/8/2022,1:55:20 PM,342
491,9/8/2022,1:55:35 PM,342
492,9/8/2022,1:55:50 PM,342
493,9/8/2022,1:56:05 PM,342
494,9/8/2022,1:56:20 PM,342
495,9/8/2022,1:56:35 PM,342
496,9/8/2022,1:56:50 PM,342
497,9/8/2022,1:57:05 PM,342
498,9/8/2022,1:57:20 PM,342
499,9/8/2022,1:57:35 PM,342
500,9/8/2022,1:57:50 PM,342
501,9/8/2022,1:58:05 PM,342
502,9/8/2022,1:58:20 PM,341
503,9/8/2022,1:58:35 PM,342
504,9/8/2022,1:58:50 PM,341
505,9/8/2022,1:59:05 PM,341
506,9/8/2022,1:59:20 PM,341
507,9/8/2022,1:59:35 PM,341
508,9/8/2022,1:59:50 PM,341
509,9/8/2022,2:00:05 PM,341
510,9/8/2022,2:00:20 PM,341
511,9/8/2022,2:00:35 PM,341
512,9/8/2022,2:00:50 PM,341
513,9/8/2022,2:01:05 PM,341
514,9/8/2022,2:01:20 PM,342
515,9/8/2022,2:01:35 PM,343
516,9/8/2022,2:01:50 PM,344
517,9/8/2022,2:02:05 PM,346
518,9/8/2022,2:02:20 PM,349
